id,country_name,country_code,currency_Code,currency_name,visa_requirement,average_travel_cost,description,image_url
248,UNITED STATES MINOR OUTLYING ISLANDS (THE),UMI,USD,US Dollar,,,,
249,UNITED STATES OF AMERICA (THE),USA,USD,US Dollar,,,,
250,UNITED STATES OF AMERICA (THE),USA,USN,US Dollar (Next day),,,,
251,URUGUAY,URY,UYI,Uruguay Peso en Unidades Indexadas (URUIURUI),,,,
252,URUGUAY,URY,UYU,Peso Uruguayo,,,,
253,UZBEKISTAN,UZB,UZS,Uzbekistan Sum,,,,
254,VANUATU,VUT,VUV,Vatu,,,,
255,VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,VEF,Bolivar,,,,
256,VIET NAM,VNM,VND,Dong,,,,
257,VIRGIN ISLANDS (BRITISH),VGB,USD,US Dollar,,,,
258,VIRGIN ISLANDS (U.S.),VIR,USD,US Dollar,,,,
259,WALLIS AND FUTUNA,WLF,XPF,CFP Franc,,,,
260,WESTERN SAHARA,ESH,MAD,Moroccan Dirham,,,,
261,YEMEN,YEM,YER,Yemeni Rial,,,,
262,ZAMBIA,ZMB,ZMW,Zambian Kwacha,,,,
263,ZIMBABWE,ZWE,ZWL,Zimbabwe Dollar,,,,
264,ÅLAND ISLANDS,ALA,EUR,Euro,,,,
265,Antarctica,ATA,NON,None,,,,
